encoderAngle, potentiometerVoltage
-94.74609375, 0.0859375
-95.80078125, 0.08984375
-96.85546875, 0.08984375
-97.91015625, 0.08984375
-98.876953125, 0.09375
-99.755859375, 0.08984375
-100.458984375, 0.09765625
-101.162109375, 0.08984375
-101.77734375, 0.09375
-102.3046875, 0.09375
-102.83203125, 0.09375
-103.359375, 0.09765625
-103.798828125, 0.09375
-104.326171875, 0.09765625
-104.853515625, 0.09375
-105.380859375, 0.09765625
-105.908203125, 0.09765625
-106.5234375, 0.09765625
-107.314453125, 0.1015625
-108.10546875, 0.09765625
-109.16015625, 0.10546875
-110.21484375, 0.1015625
-111.4453125, 0.1015625
-112.67578125, 0.10546875
-113.994140625, 0.1015625
-115.224609375, 0.109375
-116.3671875, 0.10546875
-117.421875, 0.11328125
-118.388671875, 0.109375
-119.267578125, 0.109375
-120.146484375, 0.11328125
-120.849609375, 0.10546875
-121.640625, 0.12109375
-122.34375, 0.109375
-122.87109375, 0.1171875
-123.3984375, 0.11328125
-123.837890625, 0.11328125
-124.189453125, 0.12109375
-124.541015625, 0.109375
-124.892578125, 0.12109375
-125.244140625, 0.11328125
-125.595703125, 0.1171875
-125.947265625, 0.1171875
-126.123046875, 0.11328125
-126.474609375, 0.12109375
-126.73828125, 0.11328125
-127.001953125, 0.12109375
-127.353515625, 0.11328125
-127.6171875, 0.1171875
-127.880859375, 0.12109375
-128.14453125, 0.11328125
-128.583984375, 0.125
-129.111328125, 0.1171875
-129.7265625, 0.125
-130.25390625, 0.12109375
-130.869140625, 0.12109375
-131.572265625, 0.125
-132.1875, 0.12109375
-132.802734375, 0.12890625
-133.505859375, 0.12109375
-134.12109375, 0.125
-134.6484375, 0.125
-135.3515625, 0.125
-135.966796875, 0.12890625
-136.494140625, 0.12109375
-137.021484375, 0.1328125
-137.548828125, 0.125
-138.076171875, 0.12890625
-138.603515625, 0.12890625
-139.04296875, 0.125
-139.5703125, 0.1328125
-140.09765625, 0.125
-140.537109375, 0.1328125
-140.9765625, 0.12890625
-141.416015625, 0.1328125
-141.767578125, 0.1328125
-142.119140625, 0.12890625
-142.55859375, 0.13671875
-142.91015625, 0.12890625
-143.4375, 0.13671875
-143.876953125, 0.1328125
-144.31640625, 0.1328125
-144.84375, 0.13671875
-145.546875, 0.1328125
-146.42578125, 0.140625
-147.3046875, 0.1328125
-148.095703125, 0.140625
-149.0625, 0.13671875
-150.029296875, 0.13671875
-150.99609375, 0.14453125
-152.05078125, 0.13671875
-153.017578125, 0.1484375
-154.072265625, 0.140625
-155.0390625, 0.1484375
-155.91796875, 0.14453125
-156.884765625, 0.140625
-158.02734375, 0.15234375
-159.345703125, 0.14453125
-160.576171875, 0.15234375
-161.89453125, 0.1484375
-163.212890625, 0.15234375
-164.53125, 0.15625
-165.673828125, 0.15234375
-166.81640625, 0.1640625
-167.958984375, 0.15234375
-169.013671875, 0.16015625
-170.068359375, 0.15234375
-171.03515625, 0.16015625
-171.9140625, 0.16015625
-172.705078125, 0.15625
-173.3203125, 0.16796875
-173.935546875, 0.15625
-174.375, 0.16796875
-174.814453125, 0.16015625
-175.078125, 0.1640625
-175.25390625, 0.1640625
-175.341796875, 0.15625
-175.4296875, 0.171875
-175.60546875, 0.15625
-175.78125, 0.16796875
-176.044921875, 0.1640625
-176.30859375, 0.16015625
-176.66015625, 0.16796875
-177.1875, 0.16015625
-177.71484375, 0.17578125
-178.330078125, 0.16015625
-178.857421875, 0.16796875
-179.47265625, 0.16796875
-180.17578125, 0.1640625
-180.87890625, 0.171875
-181.58203125, 0.1640625
-182.373046875, 0.17578125
-183.076171875, 0.16796875
-183.8671875, 0.171875
-184.658203125, 0.171875
-185.537109375, 0.16796875
-186.328125, 0.17578125
-187.03125, 0.16796875
-187.55859375, 0.1796875
-188.173828125, 0.171875
-188.876953125, 0.17578125
-189.580078125, 0.1796875
-190.283203125, 0.16796875
-190.8984375, 0.18359375
-191.6015625, 0.171875
-192.392578125, 0.18359375
-193.359375, 0.1796875
-194.58984375, 0.1796875
-195.908203125, 0.1875
-197.138671875, 0.17578125
-198.28125, 0.19140625
-199.423828125, 0.18359375
-200.302734375, 0.1875
-201.181640625, 0.1875
-201.97265625, 0.18359375
-202.763671875, 0.1953125
-203.466796875, 0.18359375
-204.2578125, 0.1953125
-204.873046875, 0.1875
-205.48828125, 0.19140625
-206.19140625, 0.1953125
-206.806640625, 0.1875
-207.421875, 0.203125
-208.037109375, 0.1875
-208.740234375, 0.19921875
-209.443359375, 0.19140625
-210.146484375, 0.1953125
-210.76171875, 0.203125
-211.376953125, 0.19140625
-212.16796875, 0.203125
-212.87109375, 0.1953125
-213.3984375, 0.203125
-214.013671875, 0.19921875
-214.8046875, 0.19921875
-215.5078125, 0.20703125
-216.298828125, 0.19921875
-217.265625, 0.20703125
-218.232421875, 0.1953125
-219.375, 0.20703125
-220.60546875, 0.20703125
-221.923828125, 0.20703125
-223.06640625, 0.21875
-224.208984375, 0.203125
-225.439453125, 0.21484375
-226.494140625, 0.20703125
-227.548828125, 0.2109375
-228.69140625, 0.21875
-229.921875, 0.2109375
-231.064453125, 0.22265625
